real,user,sys,language
0.415,0.199,0.004,C
0.398,0.196,0.0,C
0.415,0.196,0.007,C
0.427,0.205,0.003,C
0.434,0.209,0.004,C
0.207,0.156,0.0,C
0.217,0.188,0.0,C
0.244,0.224,0.0,C
0.171,0.154,0.0,C
0.259,0.163,0.015,C
0.298,0.248,0.004,C
0.382,0.248,0.004,C
0.405,0.199,0.0,C
0.625,0.305,0.003,C
0.543,0.266,0.0,C
0.338,0.166,0.0,C
0.556,0.265,0.007,C
0.537,0.262,0.001,C
0.61,0.296,0.004,C
0.348,0.169,0.004,C
0.393,0.193,0.001,C
0.406,0.197,0.0,C
0.426,0.205,0.004,C
0.526,0.258,0.0,C
0.174,0.155,0.0,C
0.333,0.258,0.011,C
0.313,0.258,0.001,C
0.235,0.194,0.0,C
0.172,0.15,0.004,C
0.189,0.153,0.004,C
13.7,6.721,0.056,Python
13.005,6.405,0.05,Python
13.178,6.507,0.034,Python
13.723,6.736,0.066,Python
9.848,5.85,0.035,Python
7.132,5.781,0.047,Python
6.247,5.677,0.039,Python
6.522,6.133,0.061,Python
8.199,5.958,0.047,Python
6.784,5.778,0.036,Python
6.372,5.959,0.036,Python
14.312,7.485,0.074,Python
15.21,7.437,0.1,Python
15.968,7.842,0.083,Python
16.037,7.874,0.067,Python
13.895,6.841,0.058,Python
14.787,7.259,0.08,Python
16.412,7.88,0.059,Python
13.861,7.283,0.054,Python
12.809,6.31,0.037,Python
12.847,6.337,0.041,Python
13.137,6.441,0.072,Python
12.609,6.343,0.03,Python
12.1,6.297,0.062,Python
7.057,5.464,0.035,Python
6.53,5.951,0.02,Python
6.246,5.749,0.023,Python
6.225,5.75,0.02,Python
6.647,6.017,0.055,Python
7.918,5.577,0.027,Python
1.875,0.931,0.0,Go
1.793,0.873,0.016,Go
2.572,1.255,0.018,Go
1.626,0.798,0.009,Go
0.774,0.734,0.012,Go
0.779,0.753,0.004,Go
0.698,0.675,0.004,Go
0.727,0.704,0.008,Go
1.693,0.953,0.007,Go
0.871,0.813,0.017,Go
0.895,0.817,0.008,Go
2.159,1.05,0.019,Go
2.4,1.168,0.022,Go
2.431,1.193,0.015,Go
2.351,1.151,0.016,Go
2.504,1.225,0.016,Go
2.021,1.0,0.004,Go
1.816,0.873,0.022,Go
1.528,0.861,0.024,Go
1.754,0.863,0.008,Go
1.623,0.795,0.013,Go
1.952,0.958,0.011,Go
1.91,0.926,0.019,Go
0.879,0.748,0.004,Go
1.364,0.889,0.024,Go
0.752,0.709,0.008,Go
0.947,0.865,0.02,Go
0.879,0.812,0.024,Go
0.882,0.764,0.023,Go
0.827,0.743,0.016,Go
